mode,depth,duration
alpha_beta,1,.441882000
alpha_beta,2,.440440000
alpha_beta,3,.523536000
alpha_beta,4,.958124000
alpha_beta,5,1.956390000
alpha_beta,1,.427792000
alpha_beta,2,.430701000
alpha_beta,3,.489893000
alpha_beta,4,.883356000
alpha_beta,5,1.932208000
alpha_beta,1,.425870000
alpha_beta,2,.438435000
alpha_beta,3,.487579000
alpha_beta,4,.905527000
alpha_beta,5,1.825310000
alpha_beta,1,.440171000
alpha_beta,2,.447400000
alpha_beta,3,.491762000
alpha_beta,4,.935113000
alpha_beta,5,1.975833000
alpha_beta,1,.431340000
alpha_beta,2,.452991000
alpha_beta,3,.507029000
alpha_beta,4,.917067000
alpha_beta,5,1.866134000
alpha_beta,1,.422961000
alpha_beta,2,.434033000
alpha_beta,3,.489934000
alpha_beta,4,.896499000
alpha_beta,5,1.885351000
alpha_beta,1,.440206000
alpha_beta,2,.439973000
alpha_beta,3,.489697000
alpha_beta,4,.902003000
alpha_beta,5,1.885156000
alpha_beta,1,.422106000
alpha_beta,2,.436691000
alpha_beta,3,.484477000
alpha_beta,4,.938364000
alpha_beta,5,2.016348000
alpha_beta,1,.420863000
alpha_beta,2,.431400000
alpha_beta,3,.490581000
alpha_beta,4,.902685000
alpha_beta,5,1.812767000
alpha_beta,1,.448307000
alpha_beta,2,.434610000
alpha_beta,3,.485426000
alpha_beta,4,.918389000
alpha_beta,5,1.979425000
alpha_beta,1,.431932000
alpha_beta,2,.428164000
alpha_beta,3,.487957000
alpha_beta,4,.888802000
alpha_beta,5,1.908180000
