mode,depth,duration
parallel,1,.448160000
parallel,2,.433837000
parallel,3,.471526000
parallel,4,.769578000
parallel,5,8.152535000
parallel,1,.450003000
parallel,2,.465020000
parallel,3,.485623000
parallel,4,1.260317000
parallel,5,19.517762000
parallel,1,.435368000
parallel,2,.455657000
parallel,3,.510222000
parallel,4,1.325137000
parallel,5,18.454794000
parallel,1,.424393000
parallel,2,.438021000
parallel,3,.487464000
parallel,4,1.132245000
parallel,5,17.538909000
parallel,1,.471520000
parallel,2,.454550000
parallel,3,.498934000
parallel,4,1.205572000
parallel,5,18.316830000
parallel,1,.423836000
parallel,2,.439849000
parallel,3,.489387000
parallel,4,1.134733000
parallel,5,16.672075000
