mode,depth,duration
jamboree,1,.445497000
jamboree,2,.444051000
jamboree,3,.446778000
jamboree,4,.525896000
jamboree,5,1.235736000
jamboree,1,.439395000
jamboree,2,.442556000
jamboree,3,.450769000
jamboree,4,.527442000
jamboree,5,1.252320000
jamboree,1,.435488000
jamboree,2,.425058000
jamboree,3,.443069000
jamboree,4,.515744000
jamboree,5,1.243989000
jamboree,1,.428989000
jamboree,2,.425852000
jamboree,3,.451021000
jamboree,4,.516257000
jamboree,5,1.244498000
jamboree,1,.441103000
jamboree,2,.434651000
jamboree,3,.451786000
jamboree,4,.534936000
jamboree,5,1.283499000
jamboree,1,.425863000
jamboree,2,.424940000
jamboree,3,.468293000
jamboree,4,.511266000
jamboree,5,1.182124000
jamboree,1,.424271000
jamboree,2,.441322000
jamboree,3,.451986000
jamboree,4,.519099000
jamboree,5,1.301650000
jamboree,1,.430472000
jamboree,2,.439630000
jamboree,3,.453314000
jamboree,4,.523329000
jamboree,5,1.257977000
jamboree,1,.422594000
jamboree,2,.436343000
jamboree,3,.447787000
jamboree,4,.522317000
jamboree,5,1.254083000
jamboree,1,.442788000
jamboree,2,.421031000
jamboree,3,.442400000
jamboree,4,.540759000
jamboree,5,1.281600000
jamboree,1,.434287000
jamboree,2,.432766000
jamboree,3,.448939000
jamboree,4,.517968000
jamboree,5,1.277038000
